noise time angle position
1e-05 9472 1.02779 0.00486225
1e-05 11671 0.906614 0.00536243
1e-05 8344 1.15707 0.00460365
1e-05 10504 0.988448 0.00497457
1e-05 6341 0.900573 0.00586672
1e-05 5862 1.14248 0.00548107
1e-05 11712 1.03991 0.0057612
1e-05 9614 1.17935 0.00439064
1e-05 8287 0.951745 0.00495196
1e-05 9151 1.03349 0.00537365
1e-05 7014 1.20568 0.00492956
1e-05 7107 0.919268 0.00571018
1e-05 6496 1.02196 0.00611055
1e-05 7023 1.14193 0.00452772
1e-05 7245 0.863935 0.00529809
1e-05 16338 1.2004 0.0042196
1e-05 6722 1.04307 0.00490046
1e-05 6491 1.05412 0.00553076
1e-05 7784 0.966735 0.00535995
1e-05 6265 1.02702 0.00529589
1e-05 6110 0.963805 0.00510688
1e-05 10639 0.964949 0.006158
1e-05 14525 1.16282 0.00453262
1e-05 6381 1.12841 0.00478207
1e-05 28766 1.10419 0.00487118
1e-05 8970 1.21129 0.00459663
1e-05 25676 1.05327 0.0047877
1e-05 6970 1.09494 0.00502836
1e-05 18902 1.18237 0.00444603
1e-05 6093 1.16081 0.00492546
